iter	Passed	Remaining
0	57	57792
1	58	29065
2	58	19525
3	59	14728
4	59	11835
5	59	9937
6	60	8584
7	60	7546
8	61	6773
9	61	6125
10	62	5593
11	62	5152
12	62	4775
13	63	4452
14	63	4197
15	64	3957
16	64	3743
17	65	3560
18	65	3388
19	65	3230
20	66	3090
21	66	2967
22	67	2849
23	67	2744
24	67	2644
25	68	2558
26	68	2474
27	68	2392
28	69	2320
29	69	2251
30	70	2188
31	70	2128
32	70	2070
33	71	2017
34	71	1969
35	71	1921
36	72	1876
37	73	1849
38	73	1806
39	73	1769
40	74	1734
41	74	1699
42	74	1665
43	75	1639
44	75	1608
45	76	1579
46	76	1551
47	76	1523
48	77	1498
49	77	1473
50	78	1452
51	78	1429
52	78	1406
53	79	1385
54	79	1365
55	79	1344
56	80	1324
57	80	1306
58	80	1287
59	81	1270
60	81	1253
61	81	1237
62	82	1223
63	82	1207
64	82	1192
65	83	1180
66	83	1165
67	84	1152
68	84	1138
69	84	1124
70	84	1111
71	85	1100
72	85	1088
73	86	1077
74	86	1066
75	86	1054
76	87	1045
77	87	1034
78	87	1023
79	88	1013
80	88	1003
81	88	994
82	88	982
83	89	973
84	89	965
85	90	956
86	90	947
87	90	940
88	91	931
89	91	922
90	91	916
91	92	910
92	92	902
93	92	895
94	93	887
95	93	880
96	93	873
97	94	866
98	94	860
99	94	854
100	95	847
101	95	842
102	96	837
103	96	832
104	96	825
105	97	820
106	97	814
107	98	810
108	98	805
109	98	800
110	99	794
111	99	789
112	99	784
113	100	779
114	100	775
115	101	770
116	101	764
117	101	759
118	102	755
119	102	750
120	102	745
121	102	740
122	103	736
123	103	731
124	103	727
125	104	723
126	104	718
127	104	714
128	105	710
129	105	706
130	105	702
131	106	699
132	106	695
133	107	691
134	107	688
135	107	684
136	108	680
137	108	677
138	108	674
139	109	670
140	109	667
141	109	662
142	109	659
143	110	655
144	110	652
145	111	649
146	111	646
147	111	643
148	112	640
149	112	637
150	112	635
151	113	631
152	113	628
153	113	625
154	114	622
155	114	620
156	114	617
157	115	614
158	115	611
159	115	608
160	116	605
161	116	602
162	116	600
163	117	598
164	117	595
165	118	593
166	118	591
167	118	588
168	119	586
169	119	583
170	119	580
171	120	578
172	120	575
173	120	572
174	120	570
175	121	567
176	121	565
177	121	563
178	122	561
179	122	559
180	123	556
181	123	554
182	123	551
183	123	549
184	124	547
185	124	545
186	124	542
187	125	540
188	125	538
189	125	536
190	126	534
191	126	532
192	126	529
193	127	528
194	127	526
195	127	524
196	128	521
197	128	519
198	128	517
199	129	516
200	129	513
201	129	511
202	129	510
203	130	508
204	131	508
205	131	506
206	131	504
207	132	503
208	132	501
209	132	499
210	133	497
211	133	496
212	133	494
213	134	493
214	134	492
215	135	491
216	135	489
217	135	487
218	136	485
219	136	484
220	136	482
221	137	481
222	137	480
223	138	478
224	138	477
225	138	475
226	139	474
227	139	472
228	140	471
229	140	470
230	140	468
231	141	467
232	141	466
233	141	464
234	142	463
235	142	461
236	143	460
237	143	458
238	143	457
239	144	456
240	144	455
241	144	453
242	145	452
243	145	450
244	146	450
245	146	448
246	146	447
247	147	445
248	147	444
249	147	443
250	148	442
251	148	440
252	148	439
253	149	438
254	149	436
255	150	437
256	150	436
257	151	435
258	151	434
259	152	432
260	152	431
261	152	430
262	153	429
263	153	427
264	153	426
265	154	425
266	154	424
267	154	423
268	155	421
269	155	421
270	156	420
271	156	418
272	156	417
273	157	416
274	157	415
275	157	413
276	158	413
277	158	412
278	159	411
279	159	410
280	159	409
281	160	407
282	160	406
283	160	405
284	161	404
285	161	403
286	161	402
287	162	401
288	162	400
289	163	399
290	163	397
291	163	396
292	163	395
293	164	394
294	164	393
295	165	392
296	165	391
297	165	390
298	165	389
299	166	388
300	166	387
301	166	385
302	167	385
303	167	384
304	168	382
305	168	381
306	168	380
307	168	379
308	169	378
309	169	377
310	170	376
311	170	375
312	170	374
313	171	373
314	171	372
315	171	371
316	172	370
317	172	369
318	172	368
319	173	367
320	173	366
321	173	365
322	174	364
323	174	363
324	174	362
325	175	362
326	175	361
327	175	360
328	176	359
329	176	358
330	176	357
331	177	356
332	177	356
333	178	355
334	178	354
335	178	353
336	179	352
337	179	352
338	180	351
339	180	350
340	180	349
341	181	348
342	181	347
343	181	347
344	182	346
345	182	345
346	182	344
347	183	343
348	183	342
349	183	341
350	184	340
351	184	340
352	185	339
353	185	338
354	185	337
355	186	336
356	186	336
357	186	335
358	187	334
359	187	333
360	187	332
361	188	331
362	188	330
363	188	330
364	189	329
365	189	328
366	189	327
367	190	326
368	190	326
369	190	325
370	191	324
371	191	323
372	192	323
373	192	322
374	192	321
375	193	320
376	193	319
377	193	319
378	194	318
379	194	317
380	194	316
381	195	316
382	195	315
383	196	314
384	196	313
385	197	313
386	197	312
387	197	312
388	198	311
389	198	310
390	198	309
391	199	308
392	199	308
393	199	307
394	200	306
395	200	305
396	200	304
397	200	303
398	201	303
399	201	302
400	201	301
401	202	300
402	202	300
403	202	299
404	203	298
405	203	297
406	203	297
407	204	296
408	204	295
409	204	294
410	205	294
411	205	293
412	206	292
413	206	292
414	206	291
415	207	290
416	207	289
417	207	289
418	208	288
419	208	288
420	209	287
421	209	286
422	209	286
423	210	285
424	210	284
425	210	283
426	211	283
427	211	282
428	212	282
429	212	281
430	212	280
431	213	280
432	213	279
433	213	278
434	214	278
435	214	277
436	214	276
437	215	276
438	215	275
439	216	275
440	216	274
441	216	273
442	217	273
443	217	272
444	217	271
445	218	270
446	218	270
447	218	269
448	219	268
449	219	268
450	219	267
451	219	266
452	220	265
453	220	265
454	221	265
455	222	264
456	222	264
457	222	263
458	223	262
459	223	262
460	224	262
461	224	261
462	225	261
463	225	260
464	225	259
465	226	259
466	226	258
467	226	257
468	227	257
469	227	256
470	227	255
471	228	255
472	228	254
473	228	254
474	229	253
475	229	252
476	229	252
477	230	251
478	230	250
479	231	250
480	231	250
481	232	249
482	232	248
483	232	248
484	233	247
485	233	246
486	233	246
487	234	245
488	234	245
489	234	244
490	234	243
491	235	242
492	235	242
493	235	241
494	236	241
495	236	240
496	236	239
497	237	239
498	237	238
499	237	237
500	238	237
501	238	236
502	238	235
503	239	235
504	239	234
505	239	234
506	240	233
507	240	232
508	240	232
509	241	231
510	242	231
511	242	231
512	243	230
513	243	230
514	243	229
515	243	228
516	244	228
517	244	227
518	245	227
519	245	226
520	245	226
521	246	226
522	247	225
523	247	224
524	247	224
525	248	223
526	248	223
527	248	222
528	249	221
529	249	221
530	249	220
531	250	220
532	250	219
533	250	218
534	251	218
535	251	217
536	251	217
537	252	216
538	252	215
539	252	215
540	252	214
541	253	213
542	253	213
543	253	212
544	254	212
545	254	211
546	255	211
547	255	210
548	256	210
549	256	209
550	256	209
551	256	208
552	257	207
553	257	207
554	258	206
555	258	206
556	258	205
557	259	205
558	259	204
559	259	204
560	260	203
561	260	202
562	260	202
563	261	201
564	261	201
565	261	200
566	261	200
567	262	199
568	262	199
569	263	198
570	263	198
571	263	197
572	264	196
573	264	196
574	264	195
575	265	195
576	265	194
577	265	194
578	266	193
579	266	192
580	266	192
581	267	192
582	268	191
583	268	191
584	268	190
585	269	190
586	269	189
587	269	189
588	270	188
589	270	187
590	270	187
591	271	186
592	271	186
593	271	185
594	272	185
595	272	184
596	272	184
597	273	183
598	273	183
599	274	182
600	274	182
601	274	181
602	274	181
603	275	180
604	275	179
605	275	179
606	276	178
607	276	178
608	276	177
609	277	177
610	277	176
611	277	176
612	278	175
613	278	175
614	278	174
615	279	173
616	279	173
617	279	172
618	279	172
619	280	171
620	280	171
621	280	170
622	281	170
623	281	169
624	281	169
625	282	168
626	282	168
627	282	167
628	283	167
629	283	166
630	283	166
631	284	165
632	284	164
633	284	164
634	285	163
635	286	163
636	286	163
637	286	162
638	287	162
639	287	161
640	287	161
641	288	160
642	288	160
643	289	159
644	289	159
645	289	158
646	290	158
647	290	157
648	290	157
649	291	156
650	291	156
651	291	155
652	292	155
653	292	154
654	292	154
655	293	153
656	293	153
657	293	152
658	293	152
659	294	151
660	294	151
661	294	150
662	295	150
663	295	149
664	295	149
665	296	148
666	296	148
667	296	147
668	297	147
669	297	146
670	297	146
671	298	145
672	298	145
673	299	144
674	299	144
675	299	143
676	300	143
677	300	142
678	300	142
679	301	141
680	301	141
681	302	140
682	302	140
683	302	139
684	303	139
685	303	138
686	303	138
687	304	137
688	304	137
689	305	137
690	305	136
691	305	136
692	305	135
693	306	135
694	306	134
695	307	134
696	307	133
697	307	133
698	308	132
699	308	132
700	308	131
701	309	131
702	309	130
703	309	130
704	310	129
705	310	129
706	310	128
707	311	128
708	311	127
709	311	127
710	312	126
711	312	126
712	312	125
713	313	125
714	313	124
715	313	124
716	314	123
717	314	123
718	314	123
719	315	122
720	315	122
721	315	121
722	316	121
723	316	120
724	316	120
725	317	119
726	317	119
727	317	118
728	318	118
729	318	117
730	318	117
731	319	116
732	319	116
733	319	115
734	319	115
735	320	114
736	320	114
737	321	114
738	321	113
739	321	113
740	322	112
741	322	112
742	322	111
743	323	111
744	323	110
745	323	110
746	324	109
747	324	109
748	324	108
749	325	108
750	325	107
751	325	107
752	326	107
753	326	106
754	326	106
755	327	105
756	327	105
757	327	104
758	328	104
759	328	103
760	329	103
761	329	102
762	329	102
763	330	102
764	330	101
765	330	101
766	331	100
767	331	100
768	331	99
769	332	99
770	332	98
771	332	98
772	333	97
773	333	97
774	333	96
775	334	96
776	334	96
777	334	95
778	335	95
779	335	94
780	335	94
781	336	93
782	336	93
783	336	92
784	337	92
785	337	91
786	338	91
787	338	91
788	338	90
789	338	90
790	339	89
791	339	89
792	340	88
793	340	88
794	340	87
795	341	87
796	341	86
797	341	86
798	342	86
799	342	85
800	342	85
801	343	84
802	343	84
803	343	83
804	344	83
805	344	82
806	344	82
807	345	82
808	345	81
809	345	81
810	346	80
811	346	80
812	346	79
813	347	79
814	347	78
815	347	78
816	348	78
817	348	77
818	348	77
819	349	76
820	349	76
821	349	75
822	350	75
823	350	74
824	350	74
825	351	73
826	351	73
827	351	73
828	352	72
829	352	72
830	352	71
831	353	71
832	353	70
833	353	70
834	354	70
835	354	69
836	354	69
837	355	68
838	355	68
839	355	67
840	356	67
841	356	66
842	357	66
843	357	66
844	357	65
845	357	65
846	358	64
847	358	64
848	358	63
849	359	63
850	359	62
851	359	62
852	360	62
853	360	61
854	361	61
855	361	60
856	361	60
857	362	59
858	363	59
859	363	59
860	363	58
861	364	58
862	364	57
863	364	57
864	364	56
865	365	56
866	365	56
867	366	55
868	366	55
869	366	54
870	367	54
871	367	53
872	367	53
873	368	53
874	368	52
875	368	52
876	369	51
877	369	51
878	369	50
879	370	50
880	370	50
881	370	49
882	371	49
883	371	48
884	371	48
885	372	47
886	372	47
887	372	47
888	373	46
889	373	46
890	373	45
891	374	45
892	374	44
893	374	44
894	375	44
895	375	43
896	375	43
897	376	42
898	376	42
899	377	41
900	377	41
901	377	41
902	378	40
903	378	40
904	378	39
905	379	39
906	379	38
907	379	38
908	380	38
909	380	37
910	380	37
911	381	36
912	381	36
913	381	35
914	382	35
915	382	35
916	382	34
917	383	34
918	383	33
919	384	33
920	384	32
921	384	32
922	385	32
923	385	31
924	386	31
925	386	30
926	386	30
927	387	30
928	387	29
929	387	29
930	388	28
931	388	28
932	388	27
933	389	27
934	389	27
935	389	26
936	390	26
937	390	25
938	391	25
939	391	24
940	391	24
941	392	24
942	392	23
943	392	23
944	393	22
945	393	22
946	393	22
947	394	21
948	394	21
949	395	20
950	395	20
951	395	19
952	396	19
953	396	19
954	396	18
955	397	18
956	397	17
957	397	17
958	398	17
959	398	16
960	398	16
961	399	15
962	399	15
963	399	14
964	400	14
965	400	14
966	400	13
967	401	13
968	401	12
969	402	12
970	402	12
971	402	11
972	402	11
973	403	10
974	403	10
975	404	9
976	404	9
977	404	9
978	405	8
979	405	8
980	405	7
981	406	7
982	406	7
983	406	6
984	407	6
985	407	5
986	407	5
987	408	4
988	408	4
989	408	4
990	409	3
991	409	3
992	409	2
993	410	2
994	410	2
995	410	1
996	411	1
997	411	0
998	412	0
999	412	0
